Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
MGT 401 (L),2020-01-06,15:30:00,2020-01-06,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-01-07,9:30:00,2020-01-07,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-07,10:30:00,2020-01-07,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-07,11:30:00,2020-01-07,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-01-07,14:30:00,2020-01-07,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-01-07,15:30:00,2020-01-07,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-01-08,9:30:00,2020-01-08,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-01-08,10:30:00,2020-01-08,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-01-08,14:30:00,2020-01-08,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-01-09,8:30:00,2020-01-09,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-01-09,11:30:00,2020-01-09,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-01-09,12:30:00,2020-01-09,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-01-09,14:30:00,2020-01-09,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-09,15:30:00,2020-01-09,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-09,16:30:00,2020-01-09,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-01-10,8:30:00,2020-01-10,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-01-10,9:30:00,2020-01-10,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-01-10,10:30:00,2020-01-10,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-10,11:30:00,2020-01-10,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-10,12:30:00,2020-01-10,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-01-10,14:30:00,2020-01-10,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-10,15:30:00,2020-01-10,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-10,16:30:00,2020-01-10,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MGT 401 (L),2020-01-13,15:30:00,2020-01-13,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-01-14,9:30:00,2020-01-14,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-14,10:30:00,2020-01-14,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-14,11:30:00,2020-01-14,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-01-14,14:30:00,2020-01-14,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-01-14,15:30:00,2020-01-14,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-01-15,9:30:00,2020-01-15,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-01-15,10:30:00,2020-01-15,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-01-15,14:30:00,2020-01-15,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-01-16,8:30:00,2020-01-16,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-01-16,11:30:00,2020-01-16,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-01-16,12:30:00,2020-01-16,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-01-16,14:30:00,2020-01-16,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-16,15:30:00,2020-01-16,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-16,16:30:00,2020-01-16,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
