Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
EL 302 (L),2019-08-05,8:30:00,2019-08-05,9:30:00,FALSE,Digital Image Processing,LT 202,FALSE
CS 332 (P),2019-08-05,11:30:00,2019-08-05,12:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 332 (P),2019-08-05,12:30:00,2019-08-05,13:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 301 (L),2019-08-05,14:30:00,2019-08-05,15:30:00,FALSE,Software Engineering,LT 211,FALSE
CS 332 (L),2019-08-06,9:30:00,2019-08-06,10:30:00,FALSE,Compiler Design,LT 212,FALSE
CS 261 (P),2019-08-06,10:30:00,2019-08-06,11:30:00,FALSE,Computer Networks,FRL,FALSE
CS 261 (P),2019-08-06,11:30:00,2019-08-06,12:30:00,FALSE,Computer Networks,FRL,FALSE
CS 301 (P),2019-08-06,14:30:00,2019-08-06,15:30:00,FALSE,Software Engineering,FRL,FALSE
CS 301 (P),2019-08-06,15:30:00,2019-08-06,16:30:00,FALSE,Software Engineering,FRL,FALSE
EL 302 (L),2019-08-07,9:30:00,2019-08-07,10:30:00,FALSE,Digital Image Processing,LT 221,FALSE
CS 301 (L),2019-08-07,11:30:00,2019-08-07,12:30:00,FALSE,Software Engineering,LT 212,FALSE
CS 261 (L),2019-08-07,12:30:00,2019-08-07,13:30:00,FALSE,Computer Networks,LT 202,FALSE
CS 332 (L),2019-08-08,9:30:00,2019-08-08,10:30:00,FALSE,Compiler Design,LT 201,FALSE
CS 261 (L),2019-08-08,10:30:00,2019-08-08,11:30:00,FALSE,Computer Networks,LT 201,FALSE
EL 302 (L),2019-08-08,15:30:00,2019-08-08,16:30:00,FALSE,Digital Image Processing,LT 201,FALSE
EL 302 (P),2019-08-09,8:30:00,2019-08-09,9:30:00,FALSE,Digital Image Processing,CSE LAB-I,FALSE
EL 302 (P),2019-08-09,9:30:00,2019-08-09,10:30:00,FALSE,Digital Image Processing,CSE LAB-I,FALSE
CS 332 (L),2019-08-09,11:30:00,2019-08-09,12:30:00,FALSE,Compiler Design,LT 201,FALSE
CS 261 (L),2019-08-09,12:30:00,2019-08-09,13:30:00,FALSE,Computer Networks,LT 212,FALSE
CS 301 (L),2019-08-09,16:30:00,2019-08-09,17:30:00,FALSE,Software Engineering,LT 202,FALSE
CS 4221 (P),2019-08-10,9:30:00,2019-08-10,10:30:00,FALSE,Cloud Services and Technology,CSE LAB-I,FALSE
CS 4221 (P),2019-08-10,10:30:00,2019-08-10,11:30:00,FALSE,Cloud Services and Technology,CSE LAB-I,FALSE
CS 4221 (P),2019-08-10,11:30:00,2019-08-10,12:30:00,FALSE,Cloud Services and Technology,CSE LAB-I,FALSE
CS 4221 (L),2019-08-10,12:30:00,2019-08-10,13:30:00,FALSE,Cloud Services and Technology,LT 212,FALSE
CS 4221 (P),2019-08-10,14:30:00,2019-08-10,15:30:00,FALSE,Cloud Services and Technology,CSE LAB-I,FALSE
CS 4221 (P),2019-08-10,15:30:00,2019-08-10,16:30:00,FALSE,Cloud Services and Technology,CSE LAB-I,FALSE
CS 4221 (P),2019-08-10,16:30:00,2019-08-10,17:30:00,FALSE,Cloud Services and Technology,CSE LAB-I,FALSE
EL 302 (L),2019-08-12,8:30:00,2019-08-12,9:30:00,FALSE,Digital Image Processing,LT 202,FALSE
CS 332 (P),2019-08-12,11:30:00,2019-08-12,12:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 332 (P),2019-08-12,12:30:00,2019-08-12,13:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 301 (L),2019-08-12,14:30:00,2019-08-12,15:30:00,FALSE,Software Engineering,LT 211,FALSE
CS 332 (L),2019-08-13,9:30:00,2019-08-13,10:30:00,FALSE,Compiler Design,LT 212,FALSE
CS 261 (P),2019-08-13,10:30:00,2019-08-13,11:30:00,FALSE,Computer Networks,FRL,FALSE
CS 261 (P),2019-08-13,11:30:00,2019-08-13,12:30:00,FALSE,Computer Networks,FRL,FALSE
